G,Date,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
48,2/8/13,MIN,W,100.0000,94.0000,38.0000,81.0000,0.4690,8.0000,26.0000,0.3080,16.0000,20.0000,0.8000,10.0000,42.0000,19.0000,5.0000,6.0000,8.0000,19.0000,37.0000,80.0000,0.4630,1.0000,13.0000,0.0770,19.0000,27.0000,0.7040,12.0000,41.0000,19.0000,6.0000,2.0000,9.0000,18.0000
49,2/10/13,LAC,L,88.0000,102.0000,33.0000,74.0000,0.4460,7.0000,23.0000,0.3040,15.0000,18.0000,0.8330,10.0000,35.0000,11.0000,10.0000,3.0000,16.0000,18.0000,41.0000,80.0000,0.5130,10.0000,28.0000,0.3570,10.0000,16.0000,0.6250,13.0000,43.0000,21.0000,10.0000,6.0000,14.0000,19.0000
50,2/13/13,TOR,L,88.0000,92.0000,28.0000,79.0000,0.3540,9.0000,25.0000,0.3600,23.0000,32.0000,0.7190,20.0000,52.0000,12.0000,7.0000,2.0000,11.0000,21.0000,31.0000,73.0000,0.4250,9.0000,21.0000,0.4290,21.0000,24.0000,0.8750,8.0000,35.0000,12.0000,3.0000,8.0000,10.0000,20.0000
51,2/20/13,IND,L,91.0000,125.0000,29.0000,86.0000,0.3370,5.0000,28.0000,0.1790,28.0000,36.0000,0.7780,13.0000,39.0000,17.0000,13.0000,3.0000,15.0000,29.0000,42.0000,79.0000,0.5320,11.0000,24.0000,0.4580,30.0000,39.0000,0.7690,14.0000,54.0000,28.0000,8.0000,9.0000,21.0000,25.0000
52,2/22/13,TOR,L,98.0000,100.0000,35.0000,75.0000,0.4670,10.0000,28.0000,0.3570,18.0000,23.0000,0.7830,10.0000,42.0000,19.0000,5.0000,8.0000,16.0000,28.0000,35.0000,80.0000,0.4380,7.0000,18.0000,0.3890,23.0000,28.0000,0.8210,6.0000,31.0000,18.0000,7.0000,3.0000,9.0000,22.0000
53,2/24/13,PHI,W,99.0000,93.0000,32.0000,75.0000,0.4270,8.0000,33.0000,0.2420,27.0000,35.0000,0.7710,11.0000,48.0000,17.0000,7.0000,3.0000,12.0000,18.0000,36.0000,85.0000,0.4240,4.0000,13.0000,0.3080,17.0000,20.0000,0.8500,11.0000,44.0000,18.0000,8.0000,2.0000,12.0000,22.0000
54,2/27/13,GSW,W,109.0000,105.0000,36.0000,87.0000,0.4140,11.0000,34.0000,0.3240,26.0000,33.0000,0.7880,16.0000,46.0000,19.0000,12.0000,3.0000,10.0000,23.0000,36.0000,72.0000,0.5000,15.0000,27.0000,0.5560,18.0000,21.0000,0.8570,5.0000,38.0000,14.0000,6.0000,4.0000,17.0000,23.0000
55,3/1/13,WAS,W,96.0000,88.0000,35.0000,81.0000,0.4320,8.0000,28.0000,0.2860,18.0000,21.0000,0.8570,9.0000,41.0000,18.0000,8.0000,3.0000,12.0000,23.0000,31.0000,74.0000,0.4190,7.0000,16.0000,0.4380,19.0000,29.0000,0.6550,11.0000,44.0000,19.0000,7.0000,4.0000,13.0000,18.0000
56,3/3/13,MIA,L,93.0000,99.0000,32.0000,74.0000,0.4320,8.0000,29.0000,0.2760,21.0000,26.0000,0.8080,9.0000,40.0000,18.0000,9.0000,4.0000,17.0000,19.0000,39.0000,84.0000,0.4640,8.0000,20.0000,0.4000,13.0000,19.0000,0.6840,10.0000,41.0000,20.0000,10.0000,4.0000,14.0000,20.0000
57,3/4/13,CLE,W,102.0000,97.0000,36.0000,78.0000,0.4620,12.0000,30.0000,0.4000,18.0000,21.0000,0.8570,12.0000,40.0000,23.0000,9.0000,5.0000,16.0000,18.0000,37.0000,73.0000,0.5070,6.0000,20.0000,0.3000,17.0000,24.0000,0.7080,6.0000,31.0000,25.0000,9.0000,2.0000,14.0000,18.0000
58,3/6/13,DET,W,87.0000,77.0000,31.0000,75.0000,0.4130,13.0000,35.0000,0.3710,12.0000,15.0000,0.8000,14.0000,48.0000,23.0000,11.0000,5.0000,20.0000,15.0000,32.0000,74.0000,0.4320,7.0000,20.0000,0.3500,6.0000,10.0000,0.6000,8.0000,36.0000,23.0000,8.0000,6.0000,20.0000,14.0000
59,3/7/13,OKC,L,94.0000,95.0000,35.0000,86.0000,0.4070,10.0000,31.0000,0.3230,14.0000,14.0000,1.0000,12.0000,38.0000,10.0000,10.0000,3.0000,13.0000,21.0000,31.0000,70.0000,0.4430,8.0000,21.0000,0.3810,25.0000,29.0000,0.8620,7.0000,42.0000,16.0000,8.0000,8.0000,16.0000,17.0000
60,3/9/13,UTA,W,113.0000,84.0000,38.0000,75.0000,0.5070,13.0000,32.0000,0.4060,24.0000,30.0000,0.8000,8.0000,39.0000,21.0000,11.0000,3.0000,12.0000,19.0000,30.0000,78.0000,0.3850,8.0000,26.0000,0.3080,16.0000,21.0000,0.7620,11.0000,40.0000,13.0000,4.0000,2.0000,19.0000,23.0000
61,3/11/13,GSW,L,63.0000,92.0000,20.0000,73.0000,0.2740,5.0000,27.0000,0.1850,18.0000,28.0000,0.6430,11.0000,42.0000,12.0000,7.0000,2.0000,13.0000,27.0000,32.0000,78.0000,0.4100,11.0000,20.0000,0.5500,17.0000,24.0000,0.7080,13.0000,59.0000,16.0000,7.0000,4.0000,14.0000,25.0000
62,3/13/13,DEN,L,94.0000,117.0000,34.0000,79.0000,0.4300,11.0000,28.0000,0.3930,15.0000,22.0000,0.6820,7.0000,33.0000,22.0000,7.0000,9.0000,19.0000,25.0000,41.0000,84.0000,0.4880,9.0000,21.0000,0.4290,26.0000,37.0000,0.7030,18.0000,53.0000,22.0000,11.0000,8.0000,14.0000,18.0000
63,3/14/13,POR,L,90.0000,105.0000,36.0000,82.0000,0.4390,7.0000,25.0000,0.2800,11.0000,17.0000,0.6470,11.0000,40.0000,20.0000,10.0000,2.0000,12.0000,21.0000,40.0000,78.0000,0.5130,10.0000,28.0000,0.3570,15.0000,21.0000,0.7140,9.0000,44.0000,24.0000,8.0000,6.0000,14.0000,16.0000
64,3/17/13,LAC,L,80.0000,93.0000,29.0000,81.0000,0.3580,12.0000,26.0000,0.4620,10.0000,14.0000,0.7140,7.0000,39.0000,21.0000,7.0000,1.0000,9.0000,27.0000,34.0000,75.0000,0.4530,8.0000,28.0000,0.2860,17.0000,31.0000,0.5480,12.0000,51.0000,20.0000,5.0000,8.0000,12.0000,18.0000
65,3/18/13,UTA,W,90.0000,83.0000,32.0000,69.0000,0.4640,8.0000,23.0000,0.3480,18.0000,25.0000,0.7200,8.0000,34.0000,18.0000,9.0000,5.0000,12.0000,21.0000,29.0000,76.0000,0.3820,9.0000,19.0000,0.4740,16.0000,24.0000,0.6670,19.0000,46.0000,17.0000,10.0000,5.0000,17.0000,23.0000
66,3/20/13,ORL,W,106.0000,94.0000,40.0000,76.0000,0.5260,15.0000,34.0000,0.4410,11.0000,16.0000,0.6880,10.0000,34.0000,20.0000,8.0000,2.0000,11.0000,18.0000,38.0000,79.0000,0.4810,5.0000,17.0000,0.2940,13.0000,18.0000,0.7220,14.0000,42.0000,18.0000,7.0000,0.0000,16.0000,13.0000
67,3/22/13,TOR,W,99.0000,94.0000,38.0000,71.0000,0.5350,10.0000,22.0000,0.4550,13.0000,24.0000,0.5420,9.0000,40.0000,16.0000,8.0000,5.0000,13.0000,24.0000,36.0000,79.0000,0.4560,11.0000,32.0000,0.3440,11.0000,14.0000,0.7860,9.0000,33.0000,19.0000,7.0000,1.0000,12.0000,23.0000
68,3/23/13,TOR,W,110.0000,84.0000,41.0000,79.0000,0.5190,7.0000,19.0000,0.3680,21.0000,23.0000,0.9130,11.0000,44.0000,20.0000,14.0000,3.0000,11.0000,20.0000,34.0000,76.0000,0.4470,4.0000,23.0000,0.1740,12.0000,18.0000,0.6670,11.0000,35.0000,13.0000,6.0000,2.0000,18.0000,20.0000
69,3/26/13,BOS,W,100.0000,85.0000,39.0000,90.0000,0.4330,8.0000,28.0000,0.2860,14.0000,18.0000,0.7780,15.0000,41.0000,11.0000,12.0000,3.0000,8.0000,24.0000,31.0000,69.0000,0.4490,6.0000,20.0000,0.3000,17.0000,22.0000,0.7730,7.0000,40.0000,20.0000,6.0000,6.0000,19.0000,16.0000
70,3/27/13,MEM,W,108.0000,101.0000,38.0000,74.0000,0.5140,13.0000,31.0000,0.4190,19.0000,22.0000,0.8640,7.0000,31.0000,18.0000,9.0000,2.0000,11.0000,25.0000,33.0000,70.0000,0.4710,6.0000,21.0000,0.2860,29.0000,35.0000,0.8290,10.0000,34.0000,14.0000,6.0000,2.0000,16.0000,24.0000
71,3/29/13,CHA,W,111.0000,102.0000,38.0000,77.0000,0.4940,9.0000,19.0000,0.4740,26.0000,30.0000,0.8670,12.0000,37.0000,14.0000,8.0000,4.0000,13.0000,27.0000,34.0000,73.0000,0.4660,10.0000,26.0000,0.3850,24.0000,31.0000,0.7740,10.0000,34.0000,18.0000,7.0000,3.0000,17.0000,26.0000
72,3/31/13,BOS,W,108.0000,89.0000,35.0000,72.0000,0.4860,14.0000,27.0000,0.5190,24.0000,31.0000,0.7740,10.0000,41.0000,23.0000,7.0000,1.0000,11.0000,22.0000,32.0000,74.0000,0.4320,7.0000,25.0000,0.2800,18.0000,23.0000,0.7830,9.0000,37.0000,12.0000,3.0000,3.0000,10.0000,22.0000
